"YEAR","JURISDICTION","Sum(FINES)","LICENCES","STATE","RATE_PER_10K"
2012,"ACT",54201,301841,"Australian Capital Territory",1795.6805072869493
2013,"ACT",51948,307834,"Australian Capital Territory",1687.532891103647
2014,"ACT",45120,314244,"Australian Capital Territory",1435.826937029824
2015,"ACT",50640,312267,"Australian Capital Territory",1621.689131416384
2016,"ACT",55750,328377,"Australian Capital Territory",1697.7437518462013
2017,"ACT",52913,324439,"Australian Capital Territory",1630.9075049547064
2018,"ACT",66449,330574,"Australian Capital Territory",2010.109687997241
2019,"ACT",59330,329637,"Australian Capital Territory",1799.8586323743998
2020,"ACT",57612,326495,"Australian Capital Territory",1764.5599473192544
2021,"ACT",113807,326454,"Australian Capital Territory",3486.157314659952
2023,"ACT",71961,341420,"Australian Capital Territory",2107.6972643664694
2024,"ACT",68846,347892,"Australian Capital Territory",1978.9474894507491
