"YEAR","ACT","NSW","NT","QLD","SA","TAS","VIC","WA"
2018,0,1.8748528586557083,2.816569856313054,5.315528157692974,0,0,0,4.9653262243149205
2019,0,2.046624768194157,2.2134721770257078,5.7190372075924385,0,0,0,5.678883651796366
2020,0,3.403458046886651,4.172017189079878,5.911487301671611,0,0.153732906769344,0,5.940382946030352
2021,0,7.0941687794277435,4.8108555104495565,7.6315149056986415,0,0.1213126000457352,0,9.816562671191695
2022,0,6.411937300258712,4.380998080614203,10.76893020935807,5.473230426922542,0.488368043463119,10.211601818936133,11.44325942971781
2023,31.19731543624161,4.018434491514327,11.577984316003485,6.348743083543958,3.2208723774774026,2.3126209636345116,9.300711687490116,14.854839976438248
2024,23.75584322186264,3.846633416458853,11.79419595314164,6.0846450025847165,2.395886227324576,2.7343392092421075,6.18417655090421,7.385496657030876
